Specie (latin name),Functional group,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Melicertus kerathurus,Cephalopods,0.025 - 0.044,0.025 - 0.045,0.044 - 0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.0074 - 0.014,0.025-0.044,0.0074-0.014,0.0074-0.014,0.0032-0.0074,0.0032-0.0074,0.014-0.025,0.0074-0.014,0.0074-0.014,0.0074-0.014,0.0074-0.014,0.0032-0.0074,0.014-0.025,0.025-0.044,0.014-0.025,0.014-0.025,0.025-0.044,0.014-0.025,0.025-0.044,0.025-0.044,0.025-0.044,0.025-0.044,0.025-0.044,0.044-0.33,0.044-0.33,0.044-0.33,0.025-0.044,0.044-0.33,0.044-0.33,0.025-0.044,0.025-0.044,0.025-0.044,0.025-0.044,0.025-0.044,0.014-0.025,0.0074-0.014,0.0074-0.014,0.014-0.025,0.0074-0.014,0.0032-0.0074,0.0074-0.014,0.014-0.025,0.014-0.025,0.014-0.025,0.014-0.025,0.025-0.044,0.025-0.044
Coryphaena hippurus,Cephalopods,0.025 - 0.044,0.025 - 0.045,0.044 - 0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.044-0.33,0.0074 - 0.014,0.025-0.044,0.0074-0.014,0.0074-0.014,0.0032-0.0074,0.0032-0.0074,0.014-0.025,0.0074-0.014,0.0074-0.014,0.0074-0.014,0.0074-0.014,0.0032-0.0074,0.014-0.025,0.025-0.044,0.014-0.025,0.014-0.025,0.025-0.044,0.014-0.025,0.025-0.044,0.025-0.044,0.025-0.044,0.025-0.044,0.025-0.044,0.044-0.33,0.044-0.33,0.044-0.33,0.025-0.044,0.044-0.33,0.044-0.33,0.025-0.044,0.025-0.044,0.025-0.044,0.025-0.044,0.025-0.044,0.014-0.025,0.0074-0.014,0.0074-0.014,0.014-0.025,0.0074-0.014,0.0032-0.0074,0.0074-0.014,0.014-0.025,0.014-0.025,0.014-0.025,0.014-0.025,0.025-0.044,0.025-0.044
Spondyliosoma cantharus,Large bathydemersals,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.021 -0.024,0.021-0.024,0.021-0.024,0.021-0.024,0.021-0.024,0.021-0.024,0.021-0.024,0.021-0.024,0.021-0.024,0.016-0.021,0.016-0.021,0.016-0.021,0.01-0.016,0.016-0.021,0.016-0.021,0.021-0.024
Carcharhinus falciformis,Large bathydemersals,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.021 -0.024,0.021-0.024,0.021-0.024,0.021-0.024,0.021-0.024,0.021-0.024,0.021-0.024,0.021-0.024,0.021-0.024,0.016-0.021,0.016-0.021,0.016-0.021,0.01-0.016,0.016-0.021,0.016-0.021,0.021-0.024
Diplodus sargus sargus,Large bathydemersals,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.01-0.016,0.021 -0.024,0.021-0.024,0.021-0.024,0.021-0.024,0.021-0.024,0.021-0.024,0.021-0.024,0.021-0.024,0.021-0.024,0.016-0.021,0.016-0.021,0.016-0.021,0.01-0.016,0.016-0.021,0.016-0.021,0.021-0.024
Epigonus telescopus,Large benthopelagics,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.08,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31
Sepia officinalis,Large benthopelagics,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.08,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31
Caranx rhonchus,Large benthopelagics,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.08,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31
Seriola dumerili,Large benthopelagics,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.08,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31
Dentex macrophthalmus,Large benthopelagics,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.08,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.011-0.02,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.02- 0.057,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31,0.057-0.31
